Identifier,Responsible partner,Competency Question / Natural language sentence (fact),Answer (For Competency Questions),"Status (Proposed, Accepted, Rejected, Deprecated)",Comments (optional),Extracted from (provenance),"Priority (High, Medium, Low) (optional)",Relation with other requirements (optional),Associated ontology elements,Relation to ontology elements in other domains
miUrba1,UPM,Una comunidad de vecinos está formada por uno o más edificios,,Proposed,,Documento requisitos Rastreator,,,"ComunidaDeVecinos, Edificio, formadaPor",GeoSPARQL: Feature
miUrba2,UPM,Un edificio tiene una dirección postal,,Proposed,,Documento requisitos Rastreator,,,Edificio,Schema.org: address; vocabulario de direcciones: DireccionPostal
miUrba3,UPM,"Un edificio pertenece a un barrio, distrito, ciudad o municipio",,Proposed,,Documento requisitos Rastreator,,,Edificio,"EDINT: belongsTo; vocabulario territorial: Barrio, Distrito, Ciudad, Municipio"
miUrba4,UPM,Los edificios que forman una comunidad de vecinos disponen de instalaciones comunes,,Proposed,,Documento requisitos Rastreator,,miUrba1,"ComunidaDeVecinos, Edificio, InstalacionComun, formadaPor, disponeDeInstalacionComun",
miUrba5,UPM,Una comunidad de vecinos puede estar formada por varios edificios,,Proposed,,Documento requisitos Rastreator,,miUrba1,"ComunidaDeVecinos, Edificio, formadaPor",
miUrba6,UPM,Un edificio comprende uno o varios inmuebles catastrales,,Proposed,,Documento requisitos Rastreator,,,"Edificio, tieneInmueble",Catastro: CadastralProperty
miUrba7,UPM,Un edificio tiene un determinado número de plantas,,Proposed,,Documento requisitos Rastreator,,,"Edificio, numeroDePlantas",
miUrba8,UPM,Un edificio dispone o no de ascensor,,Proposed,,Documento requisitos Rastreator,,,"Edificio, tieneAscensor",
miUrba9,UPM,Un edificio tiene una fecha de construcción y puede haber sido reformado en una fecha posterior,,Proposed,,Documento requisitos Rastreator,,,"Edificio, fechaConstruccion, fechaReforma",XSD: date
miUrba10,UPM,Un edificio dispone de un sistema de calefacción caracterizado por su modalidad de suministro,,Proposed,,Documento requisitos Rastreator,,miUrba12,"Edificio, SistemaDeCalefaccion, tieneSistemaDeCalefaccion, modalidadDeSuministro","SKOS: Concept, esquema modalidadSuministro"
miUrba11,UPM,Un edificio dispone de un sistema de agua caliente sanitaria caracterizado por su modalidad de suministro,,Proposed,,Documento requisitos Rastreator,,,"Edificio, SistemaACS, tieneSistemaDeACS, modalidadDeSuministro","SKOS: Concept, esquema modalidadSuministro"
miUrba12,UPM,Un sistema de calefacción utiliza un determinado tipo de fuente energética,,Proposed,,Documento requisitos Rastreator,,miUrba10,"SistemaDeCalefaccion, tipoDeFuenteEnergetica","SKOS: Concept, esquema tipoFuenteEnergetica"
miUrba13,UPM,Una comunidad de vecinos cuenta con una serie de roles comunitarios,,Proposed,,Documento requisitos Rastreator,,,"ComunidaDeVecinos, RolComunitario, tieneRol",
miUrba14,UPM,Los roles de una comunidad de vecinos son ejercidos por personas u organizaciones,,Proposed,,Documento requisitos Rastreator,,miUrba13,"ComunidaDeVecinos, RolComunitario, tieneRol, ejercidoPor","Schema.org: Person, Organization"
miUrba15,UPM,La presidencia de una comunidad de vecinos es ejercida por una persona u organización,,Proposed,,Documento requisitos Rastreator,,"miUrba13, miUrba14","ComunidaDeVecinos, PresidenteComunidad, tieneRol, ejercidoPor","Schema.org: Person, Organization"
miUrba16,UPM,Un servicio contratado corresponde a un determinado servicio,,Proposed,,Documento requisitos Rastreator,,,"ServicioContratado, Servicio, correspondeAServicio",
